LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#]
20220125,000055,25.0006,1,1,1,0,0,-0.31,99.9785,449.886,5.44919,0.993472,0.122224,21.28,0.384878,0,0.0259763,0.0287865,454.132,449.886,-3.39311,3,16
20220125,000536,25.0039,2,1,1,39.9404,-5.77488,-0.11,99.9815,471.236,6.15882,0.804512,0.103008,24.572,0.501082,0,0.0252871,0.0205483,476.249,471.236,8.34058,4,16
20220125,001017,25.0071,3,1,1,39.9404,-5.77486,-0.02,99.9768,466.759,5.72045,0.946123,0.119785,21.256,0.186205,0,0.0254292,0.159782,467.509,466.759,6.1491,4,16
20220125,001458,25.0104,4,1,1,39.9404,-5.77486,-0.12,99.978,464.031,5.60336,1.0722,0.135681,22.103,0.44906,0,0.0299546,0.0142222,473.571,464.031,-7.83687,4,16
20220125,001939,25.0136,5,1,1,39.9404,-5.77486,0.97,99.9825,452.908,6.08356,2.03317,0.258429,10.6495,0.825507,0,0.0273822,0.0131309,472.589,452.908,1.45422,5,16
20220125,002420,25.0169,6,1,1,39.9404,-5.77486,1.16,99.9818,461.983,6.18846,2.42346,0.311742,9.45542,0.8646,0,0.0292874,0.00761252,502.935,461.983,-2.14631,2,16
20220125,003055,25.0215,1,1,1,0,0,-0.18,99.9837,458.841,5.39852,1.24833,0.153643,19,0.559175,0,0.0291459,0.0126416,470.995,458.841,-4.89849,2,16
20220125,003536,25.0247,2,1,1,39.9404,-5.77487,-0.05,99.9778,451.512,5.49236,1.33937,0.171406,19.6941,0.18511,0,0.033707,0.0622129,454.267,451.512,-3.89151,3,16
